XCoord,YCoord,FID,NAME,ADDRESS
-83.06686140,42.26411723,28,Tallgrass Prairie Heritage,1380 Titcombe Rd
-82.92742734,42.31937957,29,WFCU Centre,8787 McHugh St
-82.89832179,42.32149106,30,East Riverside,11736 McNorton St
-82.99245499,42.32726517,31,Alexander,3700 Riverside Dr E
-82.95001952,42.33848064,32,St Paul Pumping Station,7730 Riverside Dr E
-82.98070983,42.32249124,33,Francois Court,895 Francois Crt
-82.96648192,42.32473964,34,Homesite,998 Villaire Ave
-82.97746244,42.31276557,35,A.K.O.,4271 Alice St
-82.92822378,42.33818339,36,Flora,430 Flora Ave
-82.98150189,42.27235082,37,Walker Homesite Biketrail,1723 Seymour Blvd
-82.97932950,42.26979901,38,Calderwood,1859 Calderwood Ave
-82.98764065,42.27896967,39,Hall Farms,3030 Conservation Dr
-82.98410052,42.27811715,40,Walker Homesite,1900 Seymour Blvd
-83.02187108,42.29342236,41,Jackson,125 Tecumseh Rd E
-82.92299794,42.32695633,42,Little River Corridor,10091 Riverside Dr E
-83.00572649,42.31318511,43,Devonshire,2005 Devonshire Crt
-82.97248875,42.29255479,44,Plymouth,3601 Plymouth Dr
-83.04517172,42.27253904,45,Aboriginal,2376 Northway Ave
-83.00709903,42.27945115,46,Howard,2910 Howard Ave
-82.99588879,42.28355464,47,Jennifer,2935 Jennifer Dr
-82.99822627,42.28291651,48,Brookview,1097 Brookview Cres
-82.99752612,42.28345361,49,Grand Marais Drain Trail,939 Grand Marais Rd E
-82.98931062,42.28725744,50,Udine,2891 Byng Rd
-83.00469785,42.28547061,51,Remington Booster,2710 Lillian Ave
-82.99945296,42.28730595,52,Langlois Court,2730 Parent Ave
-82.99443337,42.28985110,53,Southdale,1644 Southdale Dr
-82.98926037,42.24034696,54,Southwood Lakes Trail,4300 Southwood Lakes Blvd
-82.89628900,42.33216617,55,South Rendezvous,11997 Riverside Dr E
-82.91409816,42.33624149,56,Ganatchio Trail,400 Riverdale Ave
-82.93492202,42.33964736,57,Brumpton,8890 Cedarview St
-82.94327167,42.33805724,58,Clairview Bikeway,8101 Clairview Ave
-82.96787012,42.31299474,59,Polonia,4923 Milloy St
-82.97467654,42.30168104,60,Robert McDonald,3971 Ypres Ave
-82.95492887,42.30123786,61,Thurston,2763 Rivard Ave
-82.96850146,42.30440392,62,Somme,4500 Somme Ave
-82.95183834,42.29615357,63,Fontainebleau,2960 Rivard Ave
-82.95707096,42.29420369,64,Coletta,2979 Coletta Crt
-82.94549937,42.30691728,65,Roseville,6405 Roseville Garden Dr
-82.96303469,42.31545085,66,Pykes,5497 Lassaline Ave
-82.94641319,42.31951672,67,Tranby,6899 Tranby Ave
-82.95333378,42.32237385,68,Realtor,1198 Homedale Blvd
-82.94271641,42.32957422,69,St Paul Grove,1020 St Paul Ave
-82.93221064,42.30523320,70,Meadowbrook,2851 Meadowbrook Lane
-82.91088908,42.29956560,71,Seneca,3515 Wildwood Dr
-82.91430076,42.33355847,72,East End,569 Adelaide Ave
-82.89765809,42.32702601,73,Cora Greenwood,11824 Little River Blvd
-82.90493969,42.32373176,74,Elizabeth Kishkon,1415 Banwell Rd
-82.92601728,42.32789176,75,Riverside Kiwanis,9420 Little River Rd
-82.91954008,42.33872333,76,Sandpoint Beach,10300 Riverside Dr E
-82.92987811,42.33986225,77,Lakeview Park Marina,9200 Riverside Dr E
-83.05316772,42.30683202,78,Wilson,700 McEwan Ave
